cluster,T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),MAGs,Phylum
cluster173,0.000594,0.000606,0.000656,B92T1L10,Planctomycetota
cluster174,0.000006,0.000005,0.000005,B7MC02;B6D1T2;B58T1B8;B13D1T1,Nitrospinota
cluster175,0.005931,0.006274,0.006497,B82T1L10;B78T3L11;B15T3L14,Chloroflexota
cluster176,0.000246,0.00028,0.000253,B47T1B5,Chloroflexota
cluster177,0.000079,0.000062,0.000067,B72T1B8;B35T1B5,Chloroflexota
cluster178,0.003145,0.003463,0.003439,B70T1L10;B44T3L11,Chloroflexota
cluster179,0.004597,0.005189,0.005128,B54T1B8;B50T3L14;B40T3L11;B34T1B10;B12T1B5,Chloroflexota
cluster180,0.003079,0.003342,0.003446,B58T3L11;B33T3L14;B102T1L10,Chloroflexota
cluster181,0.002603,0.002778,0.002892,B89T3L11;B7T3L14,Chloroflexota
cluster182,0.001422,0.00163,0.001584,B42T3L11,Chloroflexota
cluster183,0.001353,0.001495,0.001471,B69T3L14,Chloroflexota
cluster184,0.001387,0.001495,0.00152,B71T1L10,Chloroflexota
cluster185,0.000003,0.000006,0.000006,B36T1B8,Chloroflexota
cluster186,0.00002,0.000024,0.000015,B38T1B5,Chloroflexota
cluster187,0.007498,0.007972,0.008192,B17T3L14;B113T1L10;B104T3L11,Chloroflexota
cluster188,0.005777,0.006336,0.006482,B26T1L10;B11T3L14;B101T3L11,Chloroflexota
cluster189,0.000084,0.000071,0.000084,B25T1B5,Chloroflexota
cluster190,0.000815,0.000808,0.000911,B8T1L10,Chloroflexota
cluster191,0.004381,0.004795,0.00492,B31T1L10;B28T3L11,Chloroflexota
cluster192,0.002962,0.003364,0.003363,B73T1L10,Chloroflexota
cluster193,0.006518,0.006581,0.006745,B43T3L11;B35T1L10,Chloroflexota
cluster194,0.000011,0.000008,0.000012,B84T1B8,Chloroflexota
cluster195,0.00135,0.001294,0.001433,B107T1L10,Chloroflexota
cluster196,0.000195,0.000232,0.000216,B80T1B5,Chloroflexota
cluster197,0.003693,0.004004,0.00412,B67T3L14;B2T3L11,Chloroflexota
cluster198,0.000691,0.000759,0.000766,B30T1B5;B15T1B11,Chloroflexota
cluster199,0.001903,0.002045,0.002135,B23T1L10,Chloroflexota
cluster200,0.019565,0.02108,0.021855,B64T1L10;B27T3L14;B16T3L8;B11T3L11;B101T1B8,Chloroflexota
cluster201,0.000202,0.000204,0.000217,B71T1B5,Chloroflexota
cluster202,0.041496,0.004077,0.004214,B80T3L11;B54T3L14,Chloroflexota
cluster203,0.000804,0.000831,0.000858,B36T3L8,Chloroflexota
cluster204,0.004203,0.004527,0.004582,B46T1L10,Chloroflexota
cluster205,0.000346,0.000383,0.00039,B67T1B5,Chloroflexota
cluster206,0.000219,0.00022,0.000192,B9T1B11,Chloroflexota
cluster207,0.000454,0.00049,0.000485,B12T1L6,Chloroflexota
cluster208,0.00035,0.000351,0.000356,B4T1B11,Chloroflexota
cluster209,0.000593,0.000626,0.000628,B8D1T2;B19D1T1,Chloroflexota
cluster210,0.000144,0.00018,0.000161,B9T1B3,Chloroflexota
cluster211,0.00099,0.001024,0.001058,B28T1L10,Chloroflexota
cluster212,0.000188,0.000106,0.000021,B64T1B5,Chloroflexota
cluster213,0.020489,0.022476,0.022672,B85T3L11;B49T1L10;B39T3L8,Chloroflexota
cluster214,0.000109,0.000083,0.000113,B76T1B5,Chloroflexota
cluster215,0.014076,0.014905,0.015222,B9T3L11;B45T1L10,Chloroflexota
cluster216,0.00035,0.000306,0.000349,B13T3L8,Chloroflexota
cluster217,0.000171,0.000206,0.000196,B49T1B5,Chloroflexota
cluster218,0.004169,0.004463,0.004476,B63T3L14;B27T3L8,Chloroflexota
cluster219,0.000917,0.001056,0.001035,B98T3L11,Chloroflexota
cluster220,0.001315,0.00137,0.001464,B12T1L10,Chloroflexota
cluster221,0.003375,0.003773,0.003717,B72T3L11,Chloroflexota
cluster222,0.000017,0.000009,0.000006,B66T1B8,Chloroflexota
cluster223,0.00055,0.000608,0.000653,B109T1L10,Chloroflexota
cluster224,0.000419,0.00042,0.00045,B22T3L11,Chloroflexota
cluster225,0.000015,0.000015,0.000016,B16T1B8,Chloroflexota
cluster226,0.007199,0.008175,0.008078,B9T3L14;B78T1L10,Chloroflexota
cluster227,0.000246,0.000291,0.000267,B37T1B10,Chloroflexota
cluster228,0.000666,0.000736,0.000738,B83T1L10,Chloroflexota
cluster229,0.000211,0.000226,0.000203,B14T1B5,Chloroflexota
